#separator:tab
#html:true
Flutter调用Swift代码的主要机制是什么？<br>（核心桥梁）	"<pre><code class=""language-text"">平台通道（Platform Channels），使用MethodChannel进行通信</code></pre>"
Dart端如何初始化平台通道？<br>（代码示例）	"<pre><code class=""language-dart"">static const _channel = MethodChannel('com.example.channel');</code></pre>"
Swift端处理通道调用的关键步骤？<br>（三要素）	"<pre><code class=""language-swift"">// 1. 获取FlutterViewController
guard let controller = window?.rootViewController as? FlutterViewController else { return }

// 2. 创建FlutterMethodChannel
let channel = FlutterMethodChannel(name: ""com.example.channel"", binaryMessenger: controller.binaryMessenger)

// 3. 实现setMethodCallHandler
channel.setMethodCallHandler { (call: FlutterMethodCall, result: @escaping FlutterResult) in
    // 方法处理逻辑
}</code></pre>"
暴露Swift方法给Flutter的关键注解？<br>（必需标记）	"<pre><code class=""language-swift"">@objc public class SwiftHelper: NSObject {
    @objc public func handleRequest() {
        // 方法实现
    }
}</code></pre>"
Swift参数处理的最佳实践？<br>（类型安全）	"<pre><code class=""language-swift"">channel.setMethodCallHandler { (call, result) in
    guard let args = call.arguments as? [String: Any],
          let value = args[""key""] as? String else {
        result(FlutterError(code: ""INVALID_ARGS"", message: ""参数错误"", details: nil))
        return
    }
    // 使用安全解包的value
}</code></pre>"
Dart调用Swift方法时如何传参？<br>（参数格式）	"<pre><code class=""language-dart"">_channel.invokeMethod('methodName', {
  'param1': 'value1',
  'param2': 123,
  'flag': true
});</code></pre>"
Xcode中添加Swift文件必须做什么？<br>（初始设置）	"<pre><code class=""language-text"">1. 创建Swift文件时自动生成桥接头文件
2. 在Bridging Header中导入Flutter头文件：
   #import ""<Flutter/Flutter.h>""
3. 配置Build Settings确保头文件路径正确</code></pre>"
Swift和Dart的类型映射：Int如何处理？<br>（类型转换）	"<pre><code class=""language-swift"">// Dart端：int → Swift端：Int64
let number = args[""count""] as? Int64 ?? 0

// 返回给Dart时自动转为NSNumber*
result(Int(number * 2))</code></pre>"
如何处理未知方法调用？<br>（错误处理）	"<pre><code class=""language-swift"">switch call.method {
case ""knownMethod"": 
    // 处理逻辑
default:
    result(FlutterMethodNotImplemented)
}</code></pre>"
直接使用Swift Framework需要什么？<br>（Xcode配置）	"<pre><code class=""language-swift"">// 1. 将MyFramework.framework拖入项目
// 2. Build Settings添加框架搜索路径:
//    FRAMEWORK_SEARCH_PATHS = $(PROJECT_DIR)/Frameworks
// 3. Swift文件中导入:
import MyFramework</code></pre>"
Dart端如何捕获平台异常？<br>（错误处理）	"<pre><code class=""language-dart"">try {
  await _channel.invokeMethod('riskyMethod');
} on PlatformException catch (e) {
  print('错误码: ${e.code}, 消息: ${e.message}');
} catch (e) {
  print('未知错误: $e');
}</code></pre>"
Swift方法如何返回结果给Dart？<br>（回调机制）	"<pre><code class=""language-swift"">// 成功返回
result(""操作成功"")

// 错误返回
result(FlutterError(
    code: ""UNAVAILABLE"",
    message: ""服务不可用"",
    details: nil
))

// 返回复杂数据
result([""data"": [1, 2, 3]])</code></pre>"


#separator:tab
#html:true
Flutter调用Android代码的核心机制是什么？	"平台通道（Platform Channels），使用MethodChannel进行通信"
Dart端初始化Android通道的代码？	"<pre><code class=""language-dart"">static const platform = MethodChannel('com.example/battery');</code></pre>"
Android端注册通道的典型位置？	"在MainActivity的configureFlutterEngine()方法中"
Android端如何创建MethodChannel？	"<pre><code class=""language-kotlin"">MethodChannel(flutterEngine.dartExecutor.binaryMessenger, CHANNEL)</code></pre>"
Android端如何处理具体方法调用？	"<pre><code class=""language-kotlin"">channel.setMethodCallHandler { call, result -><br>    when (call.method) {<br>        ""getBatteryLevel"" -> handleBatteryCall(call, result)<br>        else -> result.notImplemented()<br>    }<br>}</code></pre>"
Android实现中result.success()的作用？	"将成功结果返回给Dart端"
Dart端如何处理平台异常？	"<pre><code class=""language-dart"">try {<br>  final result = await platform.invokeMethod('getBatteryLevel');<br>} on PlatformException catch (e) {<br>  print(""Error: ${e.message}"");<br>}</code></pre>"
Android端如何返回复杂结构数据？	"<pre><code class=""language-kotlin"">val data = HashMap<String, Any>()<br>data[""level""] = 80<br>data[""isCharging""] = true<br>result.success(data)</code></pre>"
Android端如何返回错误？	"<pre><code class=""language-kotlin"">result.error(""UNAVAILABLE"", ""Battery level not available"", null)</code></pre>"
Android权限配置的位置？	"在AndroidManifest.xml中添加<uses-permission android:name=""android.permission.XXX"">"

#separator:tab
#html:true
Android多版本兼容技巧？ (Kotlin)	"<pre><code class=""language-kotlin"">if (Build.VERSION.SDK_INT >= Build.VERSION_CODES.O) {
    // 新版本API实现
    newApiMethod()
} else {
    // 旧版本兼容实现
    legacyApiMethod()
}</code></pre>"
Android中int类型如何映射？ (Kotlin)	"<pre><code class=""language-kotlin"">// Dart端传递int → Android端接收为Integer
val number = call.argument<Int>(""count"")  // 自动映射为Int</code></pre>"
Dart调用时如何传递多个参数？ (Dart)	"<pre><code class=""language-dart"">final result = await platform.invokeMethod(''methodName'', {
  ''param1'': 42,
  ''param2'': ''value'',
  ''flag'': true
});</code></pre>"
Android中后台线程处理？ (Kotlin)	"<pre><code class=""language-kotlin"">thread {
    val data = fetchDataFromNetwork()  // 后台线程操作
    runOnUiThread {
        updateUI(data)  // 主线程回调
        result.success(""Done"")
    }
}</code></pre>"
Android日志记录？ (Kotlin)	"<pre><code class=""language-kotlin"">Log.d(""MyPlugin"", ""Processing request: ${call.method}"")</code></pre>"
Android端多方法处理？ (Kotlin)	"<pre><code class=""language-kotlin"">override fun onMethodCall(call: MethodCall, result: Result) {
    when (call.method) {
        ""getData"" -> handleGetData(call, result)
        ""sendData"" -> handleSendData(call, result)
        ""clearCache"" -> handleClearCache(result)
    }
}</code></pre>"
Android端响应未实现方法？ (Kotlin)	"<pre><code class=""language-kotlin"">override fun onMethodCall(call: MethodCall, result: Result) {
    if (call.method == ""unknownMethod"") {
        result.notImplemented()  // 明确返回未实现
    }
}</code></pre>"
Dart端解析返回的Map数据？ (Dart)	"<pre><code class=""language-dart"">final Map<String, dynamic> result = await platform.invokeMethod(''getUser'');
final name = result[''name''] as String;  // 类型转换
final age = result[''age''] as int;</code></pre>"
Android与iOS通道处理差异？ (Text)	"<pre><code class=""language-text"">Android注册：Activity中onCreate()
    flutterEngine.dartExecutor.execute { ... }

iOS注册：AppDelegate.swift
    GeneratedPluginRegistrant.register(with: self)

Android返回结果：result.success()
iOS返回结果：result()</code></pre>"
通道命名规范？ (Kotlin)	"<pre><code class=""language-kotlin"">// 使用反向域名格式避免冲突
private val CHANNEL_NAME = ""com.example.app/device_service""</code></pre>"


# drift使用笔记
#separator:tab
#html:true
Drift中如何定义数据表	"<pre><code class=""language-dart"">class Todos extends Table {
  IntColumn get id => integer().autoIncrement()();
  TextColumn get title => text().withLength(min: 1, max: 32)();
  IntColumn get category => integer().nullable()();
}</code></pre>"
在Drift中设置自增主键	"<pre><code class=""language-dart"">class Items extends Table {
  IntColumn get id => integer().autoIncrement()();  // 自增主键
  // 其他列...
}</code></pre>"
