# https://juejin.cn/post/6844903630655471624

#separator:tab
#html:true
响应式布局中理想视口的HTML meta设置	"<pre><code class=""language-html"">&lt;meta name=""viewport"" content=""width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=no""&gt;</code></pre>"
CSS媒体查询实现多分辨率适配	"<pre><code class=""language-css"">@media (max-width: 768px) {
  /* 平板样式 */
  .container { padding: 10px; }
}
@media (max-width: 480px) {
  /* 手机样式 */
  .container { padding: 5px; }
}</code></pre>"
使用CSS百分比创建4:3宽高比容器	"<pre><code class=""language-css"">.aspect-ratio {
  width: 100%;
  height: 0;
  padding-top: 75%; /* 4:3比例 (3/4=0.75) */
  position: relative;
}
.content {
  position: absolute;
  top: 0;
  left: 0;
  width: 100%;
  height: 100%;
}</code></pre>"
JavaScript动态计算REM基准值	"<pre><code class=""language-javascript"">function setRem() {
  const docEl = document.documentElement;
  const width = docEl.clientWidth || window.innerWidth;
  const rem = width / 10; // 将视口10等分
  docEl.style.fontSize = `${rem}px`;
}

// 初始化+监听窗口变化
setRem();
window.addEventListener('resize', setRem);</code></pre>"
Webpack中配置px2rem-loader	"<pre><code class=""language-javascript"">// webpack.config.js
module.exports = {
  module: {
    rules: [
      {
        test: /\.css$/,
        use: [
          'style-loader',
          'css-loader',
          {
            loader: 'px2rem-loader',
            options: {
              remUnit: 75,   // 设计稿宽度/10 (750/10)
              remPrecision: 8 // 转换精度
            }
          }
        ]
      }
    ]
  }
};</code></pre>"
使用VW单位实现元素自适应	"<pre><code class=""language-css"">.responsive-box {
  /* 基于375px设计稿: 100px → 100/375 * 100 = 26.666vw */
  width: 26.666vw;
  height: 13.333vw; /* 50px等效 */
  font-size: 4.267vw; /* 16px等效 */
}</code></pre>"
PostCSS配置px转vw插件	"<pre><code class=""language-javascript"">// postcss.config.js
module.exports = {
  plugins: [
    require('postcss-px-to-viewport')({
      viewportWidth: 375,   // 设计稿宽度
      viewportUnit: 'vw',   // 转换单位
      minPixelValue: 1,     // 最小转换值
      selectorBlackList: ['.ignore'] // 忽略转换的选择器
    })
  ]
};</code></pre>"
响应式图片的srcset实现	"<pre><code class=""language-html"">&lt;img src=""small.jpg""
     srcset=""small.jpg 320w,
             medium.jpg 768w,
             large.jpg 1200w""
     sizes=""(max-width: 480px) 100vw,
            (max-width: 1024px) 50vw,
            1200px""
     alt=""响应式图片示例""&gt;</code></pre>"
CSS Grid实现响应式布局	"<pre><code class=""language-css"">.grid-container {
  display: grid;
  grid-template-columns: repeat(auto-fit, minmax(250px, 1fr));
  gap: 20px;
}

@media (max-width: 600px) {
  .grid-container {
    grid-template-columns: 1fr;
  }
}</code></pre>"
Flexible.js实现REM布局	"<pre><code class=""language-html"">&lt;!-- 引入Flexible.js --&gt;
&lt;script src=""https://cdn.jsdelivr.net/npm/amfe-flexible""&gt;&lt;/script&gt;

&lt;!-- 使用示例 --&gt;
&lt;div class=""box""&gt;
  &lt;!-- 设计稿75px → 转换为0.75rem --&gt;
  &lt;div style=""width: 0.75rem; height: 0.75rem; background: red""&gt;&lt;/div&gt;
&lt;/div&gt;</code></pre>"



# https://juejin.cn/post/7528500530852708392


#separator:tab
#html:true
