#separator:tab
#html:true
什么是网络协议？	"网络协议是计算机网络中进行数据交换的规则、标准或约定的集合。"
为什么要学习网络协议？	"理解网络通信原理、开发网络应用、排查网络故障、保障网络安全。"
常见的网络协议有哪些？（至少5个）	"TCP, IP, HTTP, HTTPS, DNS, SMTP, FTP, UDP, ARP, OSPF, BGP。"
TCP和UDP的主要区别是什么？	"TCP是面向连接、可靠的协议（如支付）；UDP是无连接、不可靠但传输速度快的协议（如视频流）。"
IP协议的核心作用是什么？	"负责在网络层处理数据包的寻址和路由（源IP和目标IP）。"
HTTP协议的主要应用场景是什么？	"Web网页请求与响应，客户端和服务器间的数据传输（如浏览器显示页面）。"
什么是DNS？它的功能是什么？	"DNS是域名系统，用于将域名（如www.kaola.com）解析为对应的IP地址。"
网络协议的分层结构是什么？	"常用TCP/IP四层模型（应用层、传输层、网络层、链路层）或OSI七层模型。"
协议的三要素是什么？分别解释。	"语法（规则格式，如HTTP头状态码）、语义（含义，如状态码200表示成功）、顺序（操作时序，如请求→响应）。"
HTTPS和HTTP有什么区别？	"HTTPS是HTTP的安全版本，对传输内容加密（用于购物等需保密场景）。"
浏览器如何找到电商服务器的IP地址？	"通过DNS或HTTPDNS协议将输入的域名解析为IP地址（如www.kaola.com → 106.114.138.24）。"
ARP协议的作用是什么？	"在本地网络中通过IP地址获取对应的MAC地址（如操作系统""大吼""192.168.1.1的MAC）。"
在购物下单时，传输层为何常用TCP？	"TCP通过建立连接、确认机制和重试，保证数据包可靠到达（如支付请求）。"
网络包到达服务器后，TCP层如何处理？	"收到包后发送ACK确认回复；若超时未收到，自动重发包，确保数据完整。"
操作系统如何判断目标IP地址是本地还是外地？	"根据IP地址范围（如192.168.x.x为本地），若不属于本地网络则转发到网关。"
网关在路由中的作用是什么？	"根据路由表决定网络包的下一步转发路径（如OSPF/BGP协议）。"
路由协议OSPF和BGP的区别是什么？	"OSPF用于内部网络路由（如企业网），BGP用于跨网络路由（如互联网骨干）。"
什么是RPC？它在服务器内部通信中的作用？	"RPC（远程过程调用）是进程间通信的框架（如Tomcat调用订单服务），封装网络细节。"
编译语言（如Java）的过程有哪些步骤？	"<pre><code class=""language-golang"">// 编译过程伪代码示例
func compile(source string) {
    lexer := NewLexer(source) // 1.词法分析
    tokens := lexer.Tokenize()
    
    parser := NewParser(tokens) // 2.语法分析
    ast := parser.Parse()
    
    analyzer := NewSemanticAnalyzer() // 3.语义分析
    analyzer.Check(ast)
    
    generator := NewCodeGenerator() // 4.代码生成
    targetCode := generator.Generate(ast)
    
    SaveToFile(targetCode) // 5.生成目标文件
}</code></pre>"
