#separator:tab
#html:true
JavaScript的7种语言类型	"<pre><code class=""language-javascript"">// JavaScript的7种语言类型：
console.log(typeof undefined);  // ""undefined""
console.log(typeof null);       // ""object"" (历史遗留)
console.log(typeof true);       // ""boolean""
console.log(typeof 'text');     // ""string""
console.log(typeof 42);         // ""number""
console.log(typeof Symbol());   // ""symbol""
console.log(typeof {});         // ""object""</code></pre>"
用void 0代替undefined的原因	"<pre><code class=""language-javascript"">// 用void 0代替undefined的原因：
let undefined = 'hacked';      // 篡改undefined变量
console.log(undefined);         // 输出'hacked'

// 安全获取undefined值的方法：
const safeUndefined = void 0;
console.log(safeUndefined);     // 输出undefined</code></pre>"
浮点数精度问题解决方案	"<pre><code class=""language-javascript"">// 浮点数比较的正确方法：
function floatEqual(a, b) {
  return Math.abs(a - b) <= Number.EPSILON;
}

console.log(0.1 + 0.2 === 0.3);  // false
console.log(floatEqual(0.1+0.2, 0.3)); // true</code></pre>"
Symbol的唯一性演示	"<pre><code class=""language-javascript"">// Symbol的唯一性：
const sym1 = Symbol('key');
const sym2 = Symbol('key');
console.log(sym1 === sym2); // false

// 作为对象key：
const obj = {
  [sym1]: 'private'
};
console.log(obj[sym1]); // 'private'</code></pre>"
装箱操作原理演示	"<pre><code class=""language-javascript"">// 装箱操作原理：
const str = 'abc';
console.log(str.charAt(0)); // 'a' (实际创建临时String对象)

// 等同于：
const temp = new String(str);
console.log(temp.charAt(0)); // 'a'</code></pre>"
数据属性与访问器属性	"<pre><code class=""language-javascript"">// 数据属性 vs 访问器属性：
const dataObj = {
  prop: 'value' // 数据属性
};

const accessorObj = {
  get prop() { return this._value; },
  set prop(v) { this._value = v; }
};</code></pre>"
Object.defineProperty使用	"<pre><code class=""language-javascript"">// 使用Object.defineProperty：
const obj = {};
Object.defineProperty(obj, 'readOnly', {
  value: 42,
  writable: false,
  configurable: false
});

obj.readOnly = 100; // 严格模式下报错
console.log(obj.readOnly); // 42</code></pre>"
原型链继承示例	"<pre><code class=""language-javascript"">// 原型链继承：
function Animal() {}
Animal.prototype.eat = function() {};

function Cat() {}
Cat.prototype = Object.create(Animal.prototype);

const kitty = new Cat();
console.log(kitty instanceof Animal); // true</code></pre>"
new运算符实现原理	"<pre><code class=""language-javascript"">// 模拟new操作符：
function mockNew(Constructor, ...args) {
  // 1. 创建空对象并设置原型
  const obj = Object.create(Constructor.prototype);
  
  // 2. 执行构造函数绑定this
  const result = Constructor.apply(obj, args);
  
  // 3. 返回对象
  return result instanceof Object ? result : obj;
}</code></pre>"
ES6 class实质演示	"<pre><code class=""language-javascript"">// ES6 class实质：
class Point {
  constructor(x, y) {
    this.x = x;
    this.y = y;
  }
  distance() { /*...*/ }
}

console.log(typeof Point); // 'function'
console.log(Point.prototype.distance); // 方法存在原型上</code></pre>"
事件传播阶段演示	"<pre><code class=""language-javascript"">// 事件传播三个阶段：
document.getElementById('btn').addEventListener('click', e => {
  console.log('目标阶段');
}, false);

document.body.addEventListener('click', e => {
  console.log('冒泡阶段');
}, false);

document.body.addEventListener('click', e => {
  console.log('捕获阶段');
}, true);</code></pre>"
浮点数正确比较方法	"<pre><code class=""language-javascript"">// 浮点数正确比较：
const a = 0.1 + 0.2;
const b = 0.3;

// 错误方式：
console.log(a === b); // false

// 正确方式：
console.log(Math.abs(a - b) <= Number.EPSILON); // true</code></pre>"
原型链继承实现	"<pre><code class=""language-javascript"">// tiger继承cat的原型链：
const cat = {
  say: () => console.log('meow!')
};

const tiger = Object.create(cat, {
  say: {
    value: () => console.log('roar!')
  }
});

tiger.say(); // 'roar!'</code></pre>"
Object.create(null)特点	"<pre><code class=""language-javascript"">// Object.create(null)特点：
const bareObj = Object.create(null);

console.log('toString' in bareObj); // false
console.log(bareObj.__proto__);     // undefined</code></pre>"
配置不可删除属性	"<pre><code class=""language-javascript"">// 配置不可删除属性：
const obj = {};
Object.defineProperty(obj, 'immutable', {
  value: 'cannot delete',
  configurable: false
});

delete obj.immutable; // 严格模式下报错
console.log(obj.immutable); // 'cannot delete'</code></pre>"
检测属性可枚举性	"<pre><code class=""language-javascript"">// 检测属性可枚举性：
const obj = {
  visible: 'enumerable'
};
Object.defineProperty(obj, 'hidden', {
  value: 'non-enumerable',
  enumerable: false
});

console.log(Object.getOwnPropertyDescriptor(obj, 'visible').enumerable); // true
console.log(Object.getOwnPropertyDescriptor(obj, 'hidden').enumerable);  // false</code></pre>"
宿主对象示例	"<pre><code class=""language-javascript"">// 浏览器宿主对象示例：
console.log(window);     // BOM对象
console.log(document);   // DOM对象
new Image();             // 宿主构造器</code></pre>"
固有对象示例	"<pre><code class=""language-javascript"">// JavaScript固有对象：
console.log(Array);      // Array构造器
console.log(Date.now()); // Date对象方法
console.log(/regex/);    // 正则对象</code></pre>"
原生对象创建	"<pre><code class=""language-javascript"">// 原生对象创建：
const arr = new Array(1, 2, 3); // 通过构造器
const regex = /abc/;            // 字面量语法</code></pre>"
普通对象创建	"<pre><code class=""language-javascript"">// 普通对象创建：
const obj1 = {};                // 字面量
const obj2 = new Object();       // 构造器
class Foo {}                    // ES6 class
const obj3 = new Foo();</code></pre>"

#separator:tab
#html:true
JavaScript函数对象的[[call]]特性	"<pre><code class=""language-javascript"">// 函数调用触发[[call]]
function greet() { return 'Hello!' }
console.log(greet()); // 输出'Hello!'</code></pre>"
JavaScript构造器对象的[[construct]]特性	"<pre><code class=""language-javascript"">// new操作触发[[construct]]
class Person {
  constructor(name) { this.name = name }
}
const john = new Person('John');</code></pre>"
Date作为函数调用返回字符串	"<pre><code class=""language-javascript"">// Date作为函数调用
console.log(typeof Date()); // string
console.log(Date().includes('GMT')); // true</code></pre>"
