# 01 | delete 0：JavaScript中到底有什么是可以销毁的

#separator:tab
#html:true
JavaScript中delete操作值类型的返回值	"<pre><code class=""language-javascript"">console.log(delete 0); // true (操作值类型始终返回true)
console.log(delete ""hello""); // true
console.log(delete NaN); // true</code></pre>"
JavaScript全局变量删除操作	"<pre><code class=""language-javascript"">// 非严格模式
x = 10; // 隐式全局变量
console.log(delete x); // true 

// 严格模式
""use strict"";
y = 20; 
// delete y; // 抛出ReferenceError</code></pre>"
JavaScript对象属性删除操作	"<pre><code class=""language-javascript"">const obj = { 
  prop1: ""可删除"",
  get readOnly() { return ""只读属性""; } 
};

console.log(delete obj.prop1); // true
console.log(delete obj.readOnly); // false (只读属性删除失败)</code></pre>"
JavaScript严格模式下的delete行为	"<pre><code class=""language-javascript"">""use strict"";
const obj = Object.defineProperty({}, ""x"", {
  value: 100,
  writable: false
});

// delete obj.x; // 抛出TypeError (禁止删除只读属性)
// delete nonExistent; // 抛出ReferenceError (禁止删除未声明变量)</code></pre>"
ECMAScript引用类型规范概念	"<pre><code class=""language-text"">引用(Reference) = 基值(Base) + 引用名称(Name) + 严格标志(Strict)
示例：obj.prop → 
  Base = obj, Name = ""prop"", Strict = false

delete操作实际删除的是基值对象上的命名属性</code></pre>"
JavaScript左值(LHS)与右值(RHS)示例	"<pre><code class=""language-javascript"">// LHS (可被赋值的目标)
const target = ""赋值目标""; // ← 左侧引用

// RHS (提供值的表达式)
const value = target; // → 右侧值

// delete操作LHS引用
delete target; // 删除全局对象上的target属性</code></pre>"
JavaScript表达式结果操作示例	"<pre><code class=""language-javascript"">// 操作表达式结果
const result = delete {}.toString; // true

// 操作单值表达式
console.log(delete ({})); // true (操作表达式结果而非对象)</code></pre>"
JavaScript历史兼容性设计示例	"<pre><code class=""language-javascript"">// 早期JS无try/catch时的设计
function safeDelete(prop) {
  if (delete globalThis[prop]) {
    console.log(""删除成功"");
  } else {
    console.log(""删除失败"");
  }
}</code></pre>"


# 02 | var x = y = 100：声明语句与语法改变了JavaScript语言核心性质


#separator:tab
#html:true
JavaScript六类声明语句示例	"<pre><code class=""language-javascript"">// 1. 变量声明
let name = ""Alice"";
const PI = 3.14;
var count = 0;

// 2. 函数声明
function sum(a, b) {
  return a + b;
}

// 3. 类声明
class Rectangle {
  constructor(height, width) {
    this.height = height;
    this.width = width;
  }
}

// 4. 导入声明
// import { module } from 'module.js';

// 5. 隐式声明 (for循环/try-catch)
try {
  undeclaredFunc(); // 可能触发ReferenceError
} catch (e) {
  console.log(e.message); // e是隐式声明的catch变量
}</code></pre>"
JavaScript声明提前现象对比	"<pre><code class=""language-javascript"">// var的变量提升
console.log(a); // undefined (提升但未初始化)
var a = 10;
console.log(a); // 10

// let/const的暂时性死区(TDZ)
console.log(b); // ReferenceError: Cannot access 'b' before initialization
let b = 20;</code></pre>"
JavaScript三种绑定行为示例	"<pre><code class=""language-javascript"">// var/function: 初始化为undefined
console.log(typeof func); // ""function"" (函数提升)
function func() {}
console.log(typeof x); // ""undefined"" (var提升)
var x = 1;

// let: 未初始化(TDZ)
{
  // console.log(y); // 此处访问会抛ReferenceError
  let y = 2;
}

// const/import: 一次性绑定
const z = 3;
// z = 4; // TypeError: Assignment to constant variable
import(""module.js"") // 模块加载也是单次绑定</code></pre>"
