#separator:tab
#html:true
CSS3中实现一个鼠标悬停时宽度从100px变为200px的过渡动画	"<pre><code class=""language-css"">.box {
  width: 100px;
  transition: width 2s ease-in-out;
}
.box:hover {
  width: 200px;
}</code></pre>"
CSS3 transition的四个核心属性分别是什么？	"<pre><code class=""language-css"">.element {
  transition-property: width; /* 属性 */
  transition-duration: 2s; /* 时间 */
  transition-timing-function: ease; /* 速度曲线 */
  transition-delay: 0.5s; /* 延迟 */
  
  /* 简写：transition: width 2s ease 0.5s; */
}</code></pre>"
CSS3中实现一个元素同时进行旋转、缩放、平移、倾斜的transform动画	"<pre><code class=""language-css"">.transform-box {
  transition: transform 1s ease;
}
.transform-box:hover {
  transform: 
    scale(1.5) 
    rotate(45deg) 
    skew(10deg) 
    translate(50px, 30px);
}</code></pre>"
transform不支持哪种类型的元素？如何解决？	"<pre><code class=""language-css"">/* 不支持inline元素 */
span {
  transform: rotate(45deg); /* 无效 */
}

/* 解决方案 */
span {
  display: inline-block; /* 或block、flex */
  transform: rotate(45deg); /* 有效 */
}</code></pre>"
CSS3中使用@keyframes创建一个无限循环的旋转动画	"<pre><code class=""language-css"">@keyframes rotate {
  from { transform: rotate(0deg); }
  to { transform: rotate(360deg); }
}

.rotating {
  animation: rotate 2s linear infinite;
}</code></pre>"
CSS3 animation的8个属性分别是什么？请用代码展示	"<pre><code class=""language-css"">.animation-demo {
  animation-name: slide; /* 动画名 */
  animation-duration: 3s; /* 时长 */
  animation-timing-function: ease; /* 速度曲线 */
  animation-delay: 1s; /* 延迟 */
  animation-iteration-count: infinite; /* 次数 */
  animation-direction: alternate; /* 方向 */
  animation-fill-mode: both; /* 填充模式 */
  animation-play-state: running; /* 播放状态 */
}</code></pre>"
CSS3中哪些属性不支持transition过渡？请举例说明	"<pre><code class=""language-css"">/* 不支持的属性 */
.demo {
  transition: display 1s; /* 无效 */
  transition: position 1s; /* 无效 */
  transition: float 1s; /* 无效 */
}

/* 替代方案 */
.fade {
  transition: opacity 0.3s, visibility 0.3s;
}</code></pre>"
实现一个CSS3动画：元素从左到右移动，同时改变颜色和大小	"<pre><code class=""language-css"">@keyframes move-color-size {
  0% { transform: translateX(0) scale(1); background: red; }
  50% { transform: translateX(200px) scale(1.5); background: blue; }
  100% { transform: translateX(400px) scale(1); background: green; }
}

.moving {
  animation: move-color-size 4s ease infinite alternate;
}</code></pre>"
CSS3中timing-function的所有可选值及其效果	"<pre><code class=""language-css"">.demo {
  transition: transform 2s linear; /* 匀速 */
  transition: transform 2s ease; /* 慢-快-慢 */
  transition: transform 2s ease-in; /* 慢-快 */
  transition: transform 2s ease-out; /* 快-慢 */
  transition: transform 2s ease-in-out; /* 慢-快-慢 */
  transition: transform 2s cubic-bezier(0.68, -0.55, 0.265, 1.55); /* 自定义 */
  transition: transform 2s steps(5); /* 步进 */
}</code></pre>"
创建一个CSS3动画实现打字机效果	"<pre><code class=""language-css"">@keyframes typing {
  from { width: 0; }
  to { width: 100%; }
}

@keyframes blink {
  0%, 50% { border-color: transparent; }
  51%, 100% { border-color: #333; }
}

.typewriter {
  white-space: nowrap;
  overflow: hidden;
  border-right: 3px solid #333;
  animation: typing 4s steps(40) forwards, blink 1s infinite;
}</code></pre>"
